三元组：
(中成药:一捻金, 具有, 功效:消食导滞)
(中成药:一捻金, 具有, 功效:祛痰通便)
(中成药:一捻金, 包含, 中药材:人参)
(中成药:一捻金, 包含, 中药材:大黄)
(中成药:一捻金, 包含, 中药材:朱砂)
(中成药:一捻金, 包含, 中药材:槟榔)
(中成药:一捻金, 包含, 中药材:炒牵牛子)
(中成药:一捻金, 治疗, 疾病:积滞)
(中成药:一捻金, 治疗, 症状:便秘)
(中成药:一捻金, 治疗, 症状:停乳)
(中成药:一捻金, 治疗, 症状:停食)
(中成药:一捻金, 治疗, 症状:喘咳)
(中成药:一捻金, 治疗, 症状:痰盛)
(中成药:一捻金, 治疗, 症状:腹胀)
(中成药:一捻金, 治疗, 证候:脾胃不和)
(中成药:一捻金, 治疗, 证候:痰食阻滞)
(疾病:积滞, 疾病-证候, 证候:脾胃不和)
(疾病:积滞, 疾病-证候, 证候:痰食阻滞)
(症状:便秘, 辨病, 疾病:积滞)
(症状:便秘, 辨证, 证候:脾胃不和)
(症状:便秘, 辨证, 证候:痰食阻滞)
(症状:停乳, 辨病, 疾病:积滞)
(症状:停乳, 辨证, 证候:脾胃不和)
(症状:停乳, 辨证, 证候:痰食阻滞)
(症状:停食, 辨病, 疾病:积滞)
(症状:停食, 辨证, 证候:脾胃不和)
(症状:停食, 辨证, 证候:痰食阻滞)
(症状:喘咳, 辨病, 疾病:积滞)
(症状:喘咳, 辨证, 证候:脾胃不和)
(症状:喘咳, 辨证, 证候:痰食阻滞)
(症状:痰盛, 辨病, 疾病:积滞)
(症状:痰盛, 辨证, 证候:脾胃不和)
(症状:痰盛, 辨证, 证候:痰食阻滞)
(症状:腹胀, 辨病, 疾病:积滞)
(症状:腹胀, 辨证, 证候:脾胃不和)
(症状:腹胀, 辨证, 证候:痰食阻滞)

原文列表：
药物名称：一捻金 | 处方：大黄100g,炒牵牛子200g,槟榔100g,人参100g,朱砂30g | 功能与主治：消食导滞，祛痰通便。用于脾胃不和、痰食阻滞所致的积滞，症见停食、停乳、腹胀、便秘、痰盛、喘咳。 | 用法用量：口服，周岁以内一次0.3g，一至三岁一次0.6g，四至六岁一次1g，一日1～2次；或遵医嘱。 | 注意事项：不宜久服。 | 规格：每袋装1.2g
