三元组：
(中成药:散结乳癖膏, 具有, 功效:行气活血)
(中成药:散结乳癖膏, 具有, 功效:散结消肿)
(中成药:散结乳癖膏, 包含, 中药材:姜黄)
(中成药:散结乳癖膏, 包含, 中药材:天葵子)
(中成药:散结乳癖膏, 包含, 中药材:急性子)
(中成药:散结乳癖膏, 包含, 中药材:木鳖子)
(中成药:散结乳癖膏, 包含, 中药材:白芷)
(中成药:散结乳癖膏, 包含, 中药材:莪术)
(中成药:散结乳癖膏, 导致, 不良反应:红斑)
(中成药:散结乳癖膏, 导致, 不良反应:瘙痒)
(中成药:散结乳癖膏, 慎用, 人群:过敏体质者)
(中成药:散结乳癖膏, 治疗, 体征:脉弦)
(中成药:散结乳癖膏, 治疗, 体征:脉涩)
(中成药:散结乳癖膏, 治疗, 体征:舌有瘀斑)
(中成药:散结乳癖膏, 治疗, 体征:舌质暗红)
(中成药:散结乳癖膏, 治疗, 疾病:乳腺囊性增生)
(中成药:散结乳癖膏, 治疗, 疾病:乳癖)
(中成药:散结乳癖膏, 治疗, 症状:乳房刺痛)
(中成药:散结乳癖膏, 治疗, 症状:乳房内肿块)
(中成药:散结乳癖膏, 治疗, 症状:乳房疼痛)
(中成药:散结乳癖膏, 治疗, 症状:乳房胀痛)
(中成药:散结乳癖膏, 治疗, 症状:乳房窜痛)
(中成药:散结乳癖膏, 治疗, 症状:胸胁胀满)
(中成药:散结乳癖膏, 治疗, 证候:气滞血瘀)
(中成药:散结乳癖膏, 禁用, 人群:孕妇)
(中成药:散结乳癖膏, 禁用, 人群:皮肤破损者)
(体征:脉弦, 辨病, 疾病:乳癖)
(体征:脉弦, 辨病, 疾病:乳腺囊性增生)
(体征:脉弦, 辨证, 证候:气滞血瘀)
(体征:脉涩, 辨病, 疾病:乳癖)
(体征:脉涩, 辨病, 疾病:乳腺囊性增生)
(体征:脉涩, 辨证, 证候:气滞血瘀)
(体征:舌有瘀斑, 辨病, 疾病:乳癖)
(体征:舌有瘀斑, 辨病, 疾病:乳腺囊性增生)
(体征:舌有瘀斑, 辨证, 证候:气滞血瘀)
(体征:舌质暗红, 辨病, 疾病:乳癖)
(体征:舌质暗红, 辨病, 疾病:乳腺囊性增生)
(体征:舌质暗红, 辨证, 证候:气滞血瘀)
(疾病:乳腺囊性增生, 疾病-证候, 证候:气滞血瘀)
(疾病:乳癖, 疾病-证候, 证候:气滞血瘀)
(症状:乳房刺痛, 辨病, 疾病:乳癖)
(症状:乳房刺痛, 辨病, 疾病:乳腺囊性增生)
(症状:乳房刺痛, 辨证, 证候:气滞血瘀)
(症状:乳房内肿块, 辨病, 疾病:乳癖)
(症状:乳房内肿块, 辨病, 疾病:乳腺囊性增生)
(症状:乳房内肿块, 辨证, 证候:气滞血瘀)
(症状:乳房疼痛, 辨病, 疾病:乳癖)
(症状:乳房疼痛, 辨病, 疾病:乳腺囊性增生)
(症状:乳房疼痛, 辨证, 证候:气滞血瘀)
(症状:乳房胀痛, 辨病, 疾病:乳癖)
(症状:乳房胀痛, 辨病, 疾病:乳腺囊性增生)
(症状:乳房胀痛, 辨证, 证候:气滞血瘀)
(症状:乳房窜痛, 辨病, 疾病:乳癖)
(症状:乳房窜痛, 辨病, 疾病:乳腺囊性增生)
(症状:乳房窜痛, 辨证, 证候:气滞血瘀)
(症状:胸胁胀满, 辨病, 疾病:乳癖)
(症状:胸胁胀满, 辨病, 疾病:乳腺囊性增生)
(症状:胸胁胀满, 辨证, 证候:气滞血瘀)

原文列表：
药物名称：散结乳癖膏 | 主要成分：莪术、姜黄、急性子、天葵子、木鳖子、白芷 | 症状：乳房内肿块，乳房疼痛，乳房胀痛，乳房窜痛，乳房刺痛，胸胁胀满 | 体征：舌质暗红，舌有瘀斑，脉弦，脉涩 | 疾病：乳癖，乳腺囊性增生 | 证候：气滞血瘀 | 适应症：气滞血瘀所致的乳癖，症见乳房内肿块、伴乳房内肿块、乳房疼痛、乳房胀痛、乳房窜痛、乳房刺痛、胸胁胀满、舌质暗红、舌有瘀斑、脉弦、脉涩；乳腺囊性增生见上述证候者 | 主要功效：行气活血、散结消肿 | 用法用量：外用，先将皮肤患处洗净拭干，然后将贴膏上衬纸揭去，将药芯对准患处贴上；一次一贴，一日一次，可连续贴敷28天。 | 禁忌：1、孕妇忌用。2、皮肤破损者禁用。 | 禁忌项：过敏体质者慎用。 | 注意事项：1、本品含有毒性成分，请在医生指导下使用。2、用药中局部皮肤过敏者停止使用。3、破损皮肤禁用。 | 不良反应：瘙痒, 红斑
