三元组：
(中成药:桂枝茯苓胶囊, 具有, 功效:活血化瘀)
(中成药:桂枝茯苓胶囊, 包含, 中药材:桂枝)
(中成药:桂枝茯苓胶囊, 包含, 中药材:茯苓)
(中成药:桂枝茯苓胶囊, 包含, 中药材:牡丹皮)
(中成药:桂枝茯苓胶囊, 包含, 中药材:白芍)
(中成药:桂枝茯苓胶囊, 包含, 中药材:桃仁)
(中成药:桂枝茯苓胶囊, 治疗, 疾病:卵巢囊肿)
(中成药:桂枝茯苓胶囊, 治疗, 疾病:前列腺增生)
(中成药:桂枝茯苓胶囊, 治疗, 疾病:子宫内膜异位症)
(中成药:桂枝茯苓胶囊, 治疗, 疾病:子宫肌瘤)
(中成药:桂枝茯苓胶囊, 治疗, 疾病:慢性盆腔炎包块)
(中成药:桂枝茯苓胶囊, 治疗, 疾病:女性乳腺囊性增生病)
(中成药:桂枝茯苓胶囊, 治疗, 症状:乳房疼痛)
(中成药:桂枝茯苓胶囊, 治疗, 症状:乳房肿块)
(中成药:桂枝茯苓胶囊, 治疗, 症状:尿细如线)
(中成药:桂枝茯苓胶囊, 治疗, 症状:尿点滴而下)
(中成药:桂枝茯苓胶囊, 治疗, 症状:小便不爽)
(中成药:桂枝茯苓胶囊, 治疗, 症状:小腹胀痛)
(中成药:桂枝茯苓胶囊, 治疗, 症状:经闭)
(中成药:桂枝茯苓胶囊, 治疗, 症状:痛经)
(中成药:桂枝茯苓胶囊, 治疗, 症状:胸胁胀闷)
(中成药:桂枝茯苓胶囊, 治疗, 症状:产后恶露不尽)
(中成药:桂枝茯苓胶囊, 治疗, 证候:瘀血阻络)
(中成药:桂枝茯苓胶囊, 治疗, 证候:膀胱瘀阻)
(中成药:桂枝茯苓胶囊, 导致, 不良反应:腹部不适)
(中成药:桂枝茯苓胶囊, 导致, 不良反应:疼痛)
(中成药:桂枝茯苓胶囊, 禁用, 人群:孕妇)
(疾病:卵巢囊肿, 疾病-证候, 证候:瘀血阻络)
(疾病:前列腺增生, 疾病-证候, 证候:膀胱瘀阻)
(疾病:子宫内膜异位症, 疾病-证候, 证候:瘀血阻络)
(疾病:子宫肌瘤, 疾病-证候, 证候:瘀血阻络)
(疾病:慢性盆腔炎包块, 疾病-证候, 证候:瘀血阻络)
(疾病:女性乳腺囊性增生病, 疾病-证候, 证候:瘀血阻络)
(症状:乳房疼痛, 辨病, 疾病:女性乳腺囊性增生病)
(症状:乳房疼痛, 辨证, 证候:瘀血阻络)
(症状:乳房肿块, 辨病, 疾病:女性乳腺囊性增生病)
(症状:乳房肿块, 辨证, 证候:瘀血阻络)
(症状:尿细如线, 辨病, 疾病:前列腺增生)
(症状:尿细如线, 辨证, 证候:膀胱瘀阻)
(症状:尿点滴而下, 辨病, 疾病:前列腺增生)
(症状:尿点滴而下, 辨证, 证候:膀胱瘀阻)
(症状:小便不爽, 辨病, 疾病:前列腺增生)
(症状:小便不爽, 辨证, 证候:膀胱瘀阻)
(症状:小腹胀痛, 辨病, 疾病:前列腺增生)
(症状:小腹胀痛, 辨证, 证候:膀胱瘀阻)
(症状:经闭, 辨病, 疾病:子宫肌瘤)
(症状:经闭, 辨病, 疾病:慢性盆腔炎包块)
(症状:经闭, 辨病, 疾病:子宫内膜异位症)
(症状:经闭, 辨病, 疾病:卵巢囊肿)
(症状:经闭, 辨证, 证候:瘀血阻络)
(症状:痛经, 辨病, 疾病:子宫肌瘤)
(症状:痛经, 辨病, 疾病:慢性盆腔炎包块)
(症状:痛经, 辨病, 疾病:子宫内膜异位症)
(症状:痛经, 辨病, 疾病:卵巢囊肿)
(症状:痛经, 辨证, 证候:瘀血阻络)
(症状:胸胁胀闷, 辨病, 疾病:女性乳腺囊性增生病)
(症状:胸胁胀闷, 辨证, 证候:瘀血阻络)
(症状:产后恶露不尽, 辨病, 疾病:子宫肌瘤)
(症状:产后恶露不尽, 辨病, 疾病:慢性盆腔炎包块)
(症状:产后恶露不尽, 辨病, 疾病:子宫内膜异位症)
(症状:产后恶露不尽, 辨病, 疾病:卵巢囊肿)
(症状:产后恶露不尽, 辨证, 证候:瘀血阻络)

原文列表：
药物名称：桂枝茯苓胶囊 | 主要成分：桂枝、茯苓、牡丹皮、白芍、桃仁 | 症状：经闭，痛经，产后恶露不尽；乳房疼痛，乳房肿块，胸胁胀闷；小便不爽，尿细如线，尿点滴而下，小腹胀痛 | 疾病：子宫肌瘤，慢性盆腔炎包块，子宫内膜异位症，卵巢囊肿；女性乳腺囊性增生病；前列腺增生 | 证候：瘀血阻络；瘀血阻络；膀胱瘀阻 | 适应症：妇人淤血阻络所致经闭、痛经、产后恶露不尽、子宫肌瘤、慢性盆腔炎包块、子宫内膜异位症、卵巢囊肿见上述证候者；也可以用于乳腺囊性增生病属瘀血阻络证，症见乳房疼痛、乳房肿块、胸胁胀闷；或用于前列腺增生属淤阻膀胱证，症见小便不爽、尿细如线尿点滴而下、小腹胀痛 | 主要功效：活血化瘀 | 用法用量：口服，一次3粒，一日3次，饭后服。 | 禁忌：孕妇忌服，或遵医嘱。 | 注意事项：经期停服。 | 不良反应：腹部不适, 疼痛
