三元组：
(中成药:生血宁片, 具有, 功效:补益气血)
(中成药:生血宁片, 包含, 中药材:蚕砂)
(中成药:生血宁片, 治疗, 疾病:缺铁性贫血)
(中成药:生血宁片, 治疗, 证候:气血两虚)
(中成药:生血宁片, 治疗, 症状:面部萎黄)
(中成药:生血宁片, 治疗, 症状:面部苍白)
(中成药:生血宁片, 治疗, 症状:肌肤萎黄)
(中成药:生血宁片, 治疗, 症状:肌肤苍白)
(中成药:生血宁片, 治疗, 症状:神疲)
(中成药:生血宁片, 治疗, 症状:乏力)
(中成药:生血宁片, 治疗, 症状:目眩)
(中成药:生血宁片, 治疗, 症状:头晕)
(中成药:生血宁片, 治疗, 症状:耳鸣)
(中成药:生血宁片, 治疗, 症状:心悸)
(中成药:生血宁片, 治疗, 症状:气短)
(中成药:生血宁片, 治疗, 体征:舌质淡)
(中成药:生血宁片, 治疗, 体征:舌体胖)
(中成药:生血宁片, 治疗, 体征:脉弱)
(中成药:生血宁片, 导致, 不良反应:腹部不适)
(中成药:生血宁片, 导致, 不良反应:恶心)
(中成药:生血宁片, 导致, 不良反应:大便次数少)
(中成药:生血宁片, 导致, 不良反应:皮疹)
(中成药:生血宁片, 导致, 不良反应:粒细胞异常)
(疾病:缺铁性贫血, 疾病-证候, 证候:气血两虚)
(症状:面部萎黄, 辨病, 疾病:缺铁性贫血)
(症状:面部萎黄, 辨证, 证候:气血两虚)
(症状:面部苍白, 辨病, 疾病:缺铁性贫血)
(症状:面部苍白, 辨证, 证候:气血两虚)
(症状:肌肤萎黄, 辨病, 疾病:缺铁性贫血)
(症状:肌肤萎黄, 辨证, 证候:气血两虚)
(症状:肌肤苍白, 辨病, 疾病:缺铁性贫血)
(症状:肌肤苍白, 辨证, 证候:气血两虚)
(症状:神疲, 辨病, 疾病:缺铁性贫血)
(症状:神疲, 辨证, 证候:气血两虚)
(症状:乏力, 辨病, 疾病:缺铁性贫血)
(症状:乏力, 辨证, 证候:气血两虚)
(症状:目眩, 辨病, 疾病:缺铁性贫血)
(症状:目眩, 辨证, 证候:气血两虚)
(症状:头晕, 辨病, 疾病:缺铁性贫血)
(症状:头晕, 辨证, 证候:气血两虚)
(症状:耳鸣, 辨病, 疾病:缺铁性贫血)
(症状:耳鸣, 辨证, 证候:气血两虚)
(症状:心悸, 辨病, 疾病:缺铁性贫血)
(症状:心悸, 辨证, 证候:气血两虚)
(症状:气短, 辨病, 疾病:缺铁性贫血)
(症状:气短, 辨证, 证候:气血两虚)
(体征:舌质淡, 辨病, 疾病:缺铁性贫血)
(体征:舌质淡, 辨证, 证候:气血两虚)
(体征:舌体胖, 辨病, 疾病:缺铁性贫血)
(体征:舌体胖, 辨证, 证候:气血两虚)
(体征:脉弱, 辨病, 疾病:缺铁性贫血)
(体征:脉弱, 辨证, 证候:气血两虚)

原文列表：
药物名称：生血宁片 | 主要成分：蚕砂 | 症状：面部萎黄，面部苍白，肌肤萎黄，肌肤苍白，神疲，乏力，目眩，头晕，耳鸣，心悸，气短 | 体征：舌质淡，舌体胖，脉弱 | 疾病：缺铁性贫血 | 证候：气血两虚 | 适应症：缺铁性贫血属气血两虚证者，证见：面部萎黄、面部苍白、肌肤萎黄、肌肤苍白、神疲、乏力、目眩、头晕、耳鸣、心悸、气短、舌质淡、舌体胖、脉弱 | 主要功效：补益气血 | 用法用量：口服，轻度缺铁性贫血患者，一次2片，一日2次；中、重度患者，一次2片，一日3次；儿童患者，一次1片，一日3次；30天为一疗程。 | 禁忌：尚不明确。 | 注意事项：服药期间注意复查血常规、血清铁等相关生化指标，以指导治疗。 | 不良反应：腹部不适, 恶心, 大便次数少, 皮疹, 粒细胞异常
