三元组：
(中成药:百安洗液, 具有, 功效:清热解毒)
(中成药:百安洗液, 具有, 功效:燥湿止带)
(中成药:百安洗液, 包含, 中药材:冰片)
(中成药:百安洗液, 包含, 中药材:大叶桉叶)
(中成药:百安洗液, 包含, 中药材:地肤子)
(中成药:百安洗液, 包含, 中药材:苦参)
(中成药:百安洗液, 包含, 中药材:蒲公英)
(中成药:百安洗液, 包含, 中药材:蛇床子)
(中成药:百安洗液, 包含, 中药材:赤芍)
(中成药:百安洗液, 包含, 中药材:黄柏)
(中成药:百安洗液, 导致, 不良反应:不适)
(中成药:百安洗液, 禁用, 人群:对本品过敏者)
(中成药:百安洗液, 禁用, 人群:未有性生活史者)
(中成药:百安洗液, 禁用, 人群:经期妇女)
(中成药:百安洗液, 治疗, 体征:舌苔黄腻)
(中成药:百安洗液, 治疗, 体征:舌质红)
(中成药:百安洗液, 治疗, 疾病:滴虫性阴道炎)
(中成药:百安洗液, 治疗, 疾病:细菌性阴道病)
(中成药:百安洗液, 治疗, 疾病:霉菌性阴道炎)
(中成药:百安洗液, 治疗, 症状:口干)
(中成药:百安洗液, 治疗, 症状:口苦)
(中成药:百安洗液, 治疗, 症状:小便短涩)
(中成药:百安洗液, 治疗, 症状:小便黄)
(中成药:百安洗液, 治疗, 症状:阴痒带下)
(中成药:百安洗液, 治疗, 症状:阴部灼热)
(中成药:百安洗液, 治疗, 证候:湿热下注)
(体征:舌苔黄腻, 辨病, 疾病:滴虫性阴道炎)
(体征:舌苔黄腻, 辨病, 疾病:细菌性阴道病)
(体征:舌苔黄腻, 辨病, 疾病:霉菌性阴道炎)
(体征:舌苔黄腻, 辨证, 证候:湿热下注)
(体征:舌质红, 辨病, 疾病:滴虫性阴道炎)
(体征:舌质红, 辨病, 疾病:细菌性阴道病)
(体征:舌质红, 辨病, 疾病:霉菌性阴道炎)
(体征:舌质红, 辨证, 证候:湿热下注)
(疾病:滴虫性阴道炎, 疾病-证候, 证候:湿热下注)
(疾病:细菌性阴道病, 疾病-证候, 证候:湿热下注)
(疾病:霉菌性阴道炎, 疾病-证候, 证候:湿热下注)
(症状:口干, 辨病, 疾病:滴虫性阴道炎)
(症状:口干, 辨病, 疾病:细菌性阴道病)
(症状:口干, 辨病, 疾病:霉菌性阴道炎)
(症状:口干, 辨证, 证候:湿热下注)
(症状:口苦, 辨病, 疾病:滴虫性阴道炎)
(症状:口苦, 辨病, 疾病:细菌性阴道病)
(症状:口苦, 辨病, 疾病:霉菌性阴道炎)
(症状:口苦, 辨证, 证候:湿热下注)
(症状:小便短涩, 辨病, 疾病:滴虫性阴道炎)
(症状:小便短涩, 辨病, 疾病:细菌性阴道病)
(症状:小便短涩, 辨病, 疾病:霉菌性阴道炎)
(症状:小便短涩, 辨证, 证候:湿热下注)
(症状:小便黄, 辨病, 疾病:滴虫性阴道炎)
(症状:小便黄, 辨病, 疾病:细菌性阴道病)
(症状:小便黄, 辨病, 疾病:霉菌性阴道炎)
(症状:小便黄, 辨证, 证候:湿热下注)
(症状:阴痒带下, 辨病, 疾病:滴虫性阴道炎)
(症状:阴痒带下, 辨病, 疾病:细菌性阴道病)
(症状:阴痒带下, 辨病, 疾病:霉菌性阴道炎)
(症状:阴痒带下, 辨证, 证候:湿热下注)
(症状:阴部灼热, 辨病, 疾病:滴虫性阴道炎)
(症状:阴部灼热, 辨病, 疾病:细菌性阴道病)
(症状:阴部灼热, 辨病, 疾病:霉菌性阴道炎)
(症状:阴部灼热, 辨证, 证候:湿热下注)

原文列表：
药物名称：百安洗液 | 主要成分：黄柏、苦参、大叶桉叶、蒲公英、地肤子、赤芍、蛇床子、冰片 | 症状：阴痒带下，阴部灼热，口苦，口干，小便黄，小便短涩 | 体征：舌质红，舌苔黄腻 | 疾病：滴虫性阴道炎，霉菌性阴道炎，细菌性阴道病 | 证候：湿热下注 | 适应症：阴痒带下、阴部灼热、口苦、口干、小便黄、小便短涩、舌质红，舌苔黄腻等滴虫性阴道炎、霉菌性阴道炎或细菌性阴道病辩证属湿热下注见上述证候者 | 主要功效：清热解毒、燥湿止带 | 用法用量：外用，一次10ml药液，用温水稀释至100ml冲洗阴道，一日2次,7天一疗程。 | 禁忌：1、经期妇女禁用。2、对本品过敏者禁用。3、未有性生活史者忌用。 | 注意事项：1、本品尚无妊娠及哺乳期妇女的有效性和安全性研究数据。2、本品尚无老年性明道炎、衣原体明道炎、支原体阴道炎以及淋菌性阴道炎患者的有效性和安全性研究数据。 3、本品尚无局部患处直接涂敷的有效性和安全性研究数据。4、使用前应充分摇匀。5、本品为外用制剂，严禁口服。6、切勿接触眼睛及皮肤破溃处。 | 不良反应：不适
