文件名,节点数,关系数,状态,错误信息
一捻金.txt,17,36,成功,
一捻金胶囊.txt,17,36,成功,
一清胶囊(药典).txt,22,35,成功,
一清胶囊.txt,38,47,成功,
一清颗粒.txt,22,35,成功,
七十味珍珠丸.txt,27,26,成功,
三黄片.txt,50,57,成功,
丹鳖胶囊.txt,26,45,成功,
乙肝养阴活血颗粒.txt,39,65,成功,
乙肝宁颗粒.txt,28,49,成功,
乙肝益气解郁颗粒.txt,40,68,成功,
九气拈痛丸.txt,27,29,成功,
乳块消贴膏.txt,19,23,成功,
乳康丸.txt,26,25,成功,
乳康片.txt,29,28,成功,
乳康舒胶囊.txt,41,72,成功,
乳癖散结胶囊.txt,28,38,成功,
乳结康丸.txt,37,65,成功,
二丁颗粒.txt,12,15,成功,
二冬膏.txt,10,14,成功,
二十七味定坤丸.txt,40,53,成功,
二十五味松石丸.txt,38,37,成功,
二十五味珊瑚丸.txt,38,37,成功,
二十五味珍珠丸.txt,35,39,成功,
二妙丸.txt,12,11,成功,
二母宁嗽丸.txt,25,33,成功,
二母安嗽丸.txt,22,21,成功,
二至丸.txt,12,17,成功,
二陈丸.txt,13,17,成功,
仙灵骨葆胶囊.txt,29,28,成功,
健脾生血片.txt,64,108,成功,
元胡止痛片.txt,67,71,成功,
元胡止痛胶囊.txt,47,50,成功,
克咳片.txt,47,46,成功,
克咳胶囊.txt,29,28,成功,
六味地黄丸.txt,44,49,成功,
六神丸.txt,77,76,成功,
养血清脑颗粒.txt,56,65,成功,
前列泰胶囊.txt,16,16,成功,
前列解毒胶囊.txt,32,50,成功,
前列通栓.txt,25,24,成功,
前列通瘀片.txt,33,76,成功,
前列通瘀胶囊.txt,33,76,成功,
前列闭尔通栓.txt,27,37,成功,
十一味参芪片.txt,16,17,成功,
十一味参芪胶囊.txt,16,17,成功,
十一味能消丸.txt,21,20,成功,
十三味榜嘎散.txt,19,18,成功,
十二味翼首散.txt,22,22,成功,
十五味沉香丸.txt,25,24,成功,
十五味萝蒂明目片.txt,25,24,成功,
十全大补丸.txt,22,30,成功,
十八反十九畏.txt,37,52,成功,
十六味冬青丸.txt,25,24,成功,
十味消渴胶囊.txt,23,38,成功,
十滴水.txt,17,20,成功,
十滴水软胶囊.txt,15,18,成功,
十香止痛丸.txt,26,28,成功,
十香返生丸.txt,33,41,成功,
参芪五味子片.txt,37,50,成功,
参附注射液.txt,60,101,成功,
双石通淋胶囊.txt,36,70,成功,
双苓止泻口服液.txt,21,34,成功,
双黄连口服液.txt,47,53,成功,
坤净栓.txt,26,32,成功,
坤泰胶囊.txt,37,87,成功,
壮骨关节丸.txt,57,82,成功,
复方丹参滴丸.txt,62,93,成功,
复方斯亚旦生发酊.txt,22,21,成功,
复方沙棘籽油栓.txt,26,42,成功,
复方玄驹胶囊.txt,32,49,成功,
复方芙蓉泡腾栓.txt,28,65,成功,
复方青黛丸.txt,63,63,成功,
复方鱼腥草糖浆.txt,32,31,成功,
天麻首乌片.txt,49,59,成功,
如意金黄散.txt,35,43,成功,
妇乐片.txt,21,27,成功,
妇可靖胶囊.txt,25,35,成功,
妇炎康片.txt,45,71,成功,
妇炎康颗粒.txt,29,33,成功,
妇炎灵泡腾片.txt,32,36,成功,
安宫止血颗粒.txt,17,27,成功,
安宫牛黄丸.txt,32,31,成功,
宫瘤宁胶囊.txt,24,36,成功,
宫颈炎康栓.txt,26,48,成功,
