三元组：
(中成药:一捻金, 具有, 功效:消食导滞)
(中成药:一捻金, 具有, 功效:祛痰通便)
(中成药:一捻金, 包含, 中药材:人参)
(中成药:一捻金, 包含, 中药材:大黄)
(中成药:一捻金, 包含, 中药材:朱砂)
(中成药:一捻金, 包含, 中药材:槟榔)
(中成药:一捻金, 包含, 中药材:炒牵牛子)
(中成药:一捻金, 治疗, 疾病:积滞)
(中成药:一捻金, 治疗, 症状:便秘)
(中成药:一捻金, 治疗, 症状:停乳)
(中成药:一捻金, 治疗, 症状:停食)
(中成药:一捻金, 治疗, 症状:喘咳)
(中成药:一捻金, 治疗, 症状:痰盛)
(中成药:一捻金, 治疗, 症状:腹胀)
(中成药:一捻金, 治疗, 证候:痰食阻滞)
(中成药:一捻金, 治疗, 证候:脾胃不和)
(疾病:积滞, 疾病-证候, 证候:痰食阻滞)
(疾病:积滞, 疾病-证候, 证候:脾胃不和)
(症状:便秘, 辨病, 疾病:积滞)
(症状:便秘, 辨证, 证候:痰食阻滞)
(症状:便秘, 辨证, 证候:脾胃不和)
(症状:停食, 辨病, 疾病:积滞)
(症状:停乳, 辨病, 疾病:积滞)
(症状:停乳, 辨证, 证候:痰食阻滞)
(症状:停乳, 辨证, 证候:脾胃不和)
(症状:停食, 辨证, 证候:痰食阻滞)
(症状:停食, 辨证, 证候:脾胃不和)
(症状:喘咳, 辨病, 疾病:积滞)
(症状:喘咳, 辨证, 证候:痰食阻滞)
(症状:喘咳, 辨证, 证候:脾胃不和)
(症状:痰盛, 辨病, 疾病:积滞)
(症状:痰盛, 辨证, 证候:痰食阻滞)
(症状:痰盛, 辨证, 证候:脾胃不和)
(症状:腹胀, 辨病, 疾病:积滞)
(症状:腹胀, 辨证, 证候:痰食阻滞)
(症状:腹胀, 辨证, 证候:脾胃不和)

原文列表：
药物名称：一捻金 | 处方：大黄 100g、炒牵牛子 200g、槟榔 100g、人参 100g、朱砂 30g | 功能与主治：消食导滞，祛痰通便。用于脾胃不和、痰食阻滞所致的积滞，症见停食停乳、腹胀便秘、痰盛喘咳。 | 用量：口服，周岁以内一次 0.3g；一至三岁一次 0.6g；四至六岁一次 1g；一日 1～2 次；或遵医嘱。 | 禁忌： | 注意：不宜久服。 | 不良反应： | 规格：每袋装 1.2g
