三元组：
(中成药:复方芙蓉泡腾栓, 具有, 功效:杀虫止痒)
(中成药:复方芙蓉泡腾栓, 具有, 功效:清热燥湿)
(中成药:复方芙蓉泡腾栓, 包含, 中药材:木芙蓉叶)
(中成药:复方芙蓉泡腾栓, 包含, 中药材:艾叶)
(中成药:复方芙蓉泡腾栓, 包含, 中药材:苦参)
(中成药:复方芙蓉泡腾栓, 包含, 中药材:蛇床子)
(中成药:复方芙蓉泡腾栓, 包含, 中药材:黄柏)
(中成药:复方芙蓉泡腾栓, 导致, 不良反应:复杂性局部疼痛综合征)
(中成药:复方芙蓉泡腾栓, 导致, 不良反应:头晕)
(中成药:复方芙蓉泡腾栓, 导致, 不良反应:恶心)
(中成药:复方芙蓉泡腾栓, 治疗, 体征:脉濡数)
(中成药:复方芙蓉泡腾栓, 治疗, 体征:舌质红)
(中成药:复方芙蓉泡腾栓, 治疗, 体征:舌苔黄腻)
(中成药:复方芙蓉泡腾栓, 治疗, 疾病:滴虫性阴道炎)
(中成药:复方芙蓉泡腾栓, 治疗, 疾病:霉菌性阴道炎)
(中成药:复方芙蓉泡腾栓, 治疗, 症状:带下泡沫米泔样)
(中成药:复方芙蓉泡腾栓, 治疗, 症状:带下腥臭)
(中成药:复方芙蓉泡腾栓, 治疗, 症状:带下色黄如脓)
(中成药:复方芙蓉泡腾栓, 治疗, 症状:带下豆腐渣样)
(中成药:复方芙蓉泡腾栓, 治疗, 症状:带下量多)
(中成药:复方芙蓉泡腾栓, 治疗, 症状:阴部潮红)
(中成药:复方芙蓉泡腾栓, 治疗, 症状:阴部痒痛)
(中成药:复方芙蓉泡腾栓, 治疗, 症状:阴部肿胀)
(中成药:复方芙蓉泡腾栓, 治疗, 证候:湿热下注)
(中成药:复方芙蓉泡腾栓, 治疗, 症状:阴痒)
(中成药:复方芙蓉泡腾栓, 禁用, 人群:孕妇)
(中成药:复方芙蓉泡腾栓, 禁用, 人群:经期妇女)
(症状:阴痒, 辨证, 证候:湿热下注)
(症状:阴痒, 辨病, 疾病:滴虫性阴道炎)
(症状:阴痒, 辨病, 疾病:霉菌性阴道炎)
(症状:阴部痒痛, 辨病, 疾病:滴虫性阴道炎)
(症状:阴部痒痛, 辨病, 疾病:霉菌性阴道炎)
(症状:带下泡沫米泔样, 辨病, 疾病:霉菌性阴道炎)
(症状:带下豆腐渣样, 辨病, 疾病:滴虫性阴道炎)
(体征:脉濡数, 辨证, 证候:湿热下注)
(体征:舌质红, 辨证, 证候:湿热下注)
(体征:舌苔黄腻, 辨证, 证候:湿热下注)
(体征:脉濡数, 辨病, 疾病:滴虫性阴道炎)
(体征:舌质红, 辨病, 疾病:滴虫性阴道炎)
(体征:舌苔黄腻, 辨病, 疾病:滴虫性阴道炎)
(体征:脉濡数, 辨病, 疾病:霉菌性阴道炎)
(体征:舌质红, 辨病, 疾病:霉菌性阴道炎)
(体征:舌苔黄腻, 辨病, 疾病:霉菌性阴道炎)
(疾病:滴虫性阴道炎, 疾病-证候, 证候:湿热下注)
(疾病:霉菌性阴道炎, 疾病-证候, 证候:湿热下注)
(症状:带下泡沫米泔样, 辨病, 疾病:滴虫性阴道炎)
(症状:带下泡沫米泔样, 辨证, 证候:湿热下注)
(症状:带下腥臭, 辨病, 疾病:滴虫性阴道炎)
(症状:带下腥臭, 辨病, 疾病:霉菌性阴道炎)
(症状:带下腥臭, 辨证, 证候:湿热下注)
(症状:带下色黄如脓, 辨病, 疾病:滴虫性阴道炎)
(症状:带下色黄如脓, 辨病, 疾病:霉菌性阴道炎)
(症状:带下色黄如脓, 辨证, 证候:湿热下注)
(症状:带下豆腐渣样, 辨病, 疾病:霉菌性阴道炎)
(症状:带下豆腐渣样, 辨证, 证候:湿热下注)
(症状:带下量多, 辨病, 疾病:滴虫性阴道炎)
(症状:带下量多, 辨病, 疾病:霉菌性阴道炎)
(症状:带下量多, 辨证, 证候:湿热下注)
(症状:阴部潮红, 辨病, 疾病:滴虫性阴道炎)
(症状:阴部潮红, 辨病, 疾病:霉菌性阴道炎)
(症状:阴部潮红, 辨证, 证候:湿热下注)
(症状:阴部痒痛, 辨证, 证候:湿热下注)
(症状:阴部肿胀, 辨病, 疾病:滴虫性阴道炎)
(症状:阴部肿胀, 辨病, 疾病:霉菌性阴道炎)
(症状:阴部肿胀, 辨证, 证候:湿热下注)

原文列表：
药物名称：复方芙蓉泡腾栓 | 成分：苦参、蛇床子、黄柏、木芙蓉叶、艾叶 | 症状：阴部潮红，阴部肿胀，阴部痒痛，带下量多，带下色黄如脓，带下泡沫米泔样，带下豆腐渣样，带下腥臭 | 体征：舌红，苔黄腻，脉濡数 |疾病：滴虫性阴道炎、霉菌性阴道炎 | 证候：湿热下注 | 适应症：湿热型阴痒(包括滴虫性、霉菌性阴道炎)。症见：阴部潮红，肿胀，甚至痒痛，带下量多，色黄如脓，或呈泡沫米泔样或豆腐渣样，其气腥臭，舌红，苔黄腻，脉濡数 | 功效：清热燥湿、杀虫止痒 | 用量：置阴道内，每晚一次，每次一粒，7天一疗程，睡前放入，放入前用温开水擦洗外阴部，并湿润泡腾栓。 | 禁忌：尚不明确。 | 禁忌项：经期妇女、孕妇禁用。 | 注意：用药期间请注意血象检查 | 不良反应：头晕, 恶心, 复杂性局部疼痛综合征
