三元组：
(中成药:通乐颗粒, 包含, 中药材:何首乌)
(中成药:通乐颗粒, 包含, 中药材:地黄)
(中成药:通乐颗粒, 包含, 中药材:当归)
(中成药:通乐颗粒, 具有, 功效:滋阴补肾)
(中成药:通乐颗粒, 具有, 功效:润肠通便)
(中成药:通乐颗粒, 导致, 不良反应:腹部不适)
(中成药:通乐颗粒, 治疗, 疾病:习惯性便秘)
(中成药:通乐颗粒, 治疗, 疾病:功能性便秘)
(中成药:通乐颗粒, 治疗, 症状:口干)
(中成药:通乐颗粒, 治疗, 症状:咽燥)
(中成药:通乐颗粒, 治疗, 症状:大便秘结)
(中成药:通乐颗粒, 治疗, 症状:烦热)
(中成药:通乐颗粒, 治疗, 证候:阴虚)
(症状:口干, 辨病, 疾病:习惯性便秘)
(症状:口干, 辨病, 疾病:功能性便秘)
(症状:口干, 辨证, 证候:阴虚)
(症状:咽燥, 辨病, 疾病:习惯性便秘)
(症状:咽燥, 辨病, 疾病:功能性便秘)
(症状:咽燥, 辨证, 证候:阴虚)
(症状:大便秘结, 辨病, 疾病:习惯性便秘)
(症状:大便秘结, 辨病, 疾病:功能性便秘)
(症状:大便秘结, 辨证, 证候:阴虚)
(症状:烦热, 辨病, 疾病:习惯性便秘)
(症状:烦热, 辨病, 疾病:功能性便秘)
(症状:烦热, 辨证, 证候:阴虚)

原文列表：
药物名称：通乐颗粒 | 成分：何首乌、地黄、当归 | 症状：大便秘结，口干，咽燥，烦热 | 体征： |疾病：习惯性便秘，功能性便秘 | 证候： | 适应症：阴虚便秘，症见大便秘结，口干，咽燥，烦热等，以及习惯性、功能性便秘见于上述症状者 | 功效：滋阴补肾、润肠通便 | 用量：口服，一次12g，一日2次，二周为一疗程，或遵医嘱。 | 禁忌：尚不明确。 | 禁忌项： | 注意：尚不明确。 | 不良反应：腹部不适
